book	chapter	verse	decision	chosen	farskipper	thiagobodruk	openbibles	scrollmapper
Deuteronomy	1	2	plurality 2/4	( There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh-barnea.)	(There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh-barnea.)	( There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh-barnea.)	( There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh-barnea.)	(There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh–barnea.)
Deuteronomy	1	23	plurality 3/4	And the saying pleased me well: and I took twelve men of you, one of a tribe:	And the saying pleased me well: and I took twelve men of you, one of a tribe:	And the saying pleased me well: and I took twelve men of you, one of a tribe:	and the saying pleased me well: and I took twelve men of you, one of a tribe:	And the saying pleased me well: and I took twelve men of you, one of a tribe:
Deuteronomy	2	5	plurality 3/4	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau for a possession.	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau for a possession.	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau for a possession.	Meddle not with them; for I will not give you of their land, no, not so much as a footbreadth; because I have given mount Seir unto Esau for a possession.	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau for a possession.
Deuteronomy	3	9	plurality 2/4	(Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)	(Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)	( Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)	( Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)	(Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)
Deuteronomy	3	19	plurality 2/4	But your wives, and your little ones, and your cattle, (for I know that ye have much cattle,) shall abide in your cities which I have given you;	But your wives, and your little ones, and your cattle, (for I know that ye have much cattle,) shall abide in your cities which I have given you;	But your wives, and your little ones, and your cattle, ( for I know that ye have much cattle,) shall abide in your cities which I have given you;	But your wives, and your little ones, and your cattle, ( for I know that ye have much cattle,) shall abide in your cities which I have given you;	But your wives, and your little ones, and your cattle, (for I know that ye have much cattle,) shall abide in your cities which I have given you;
Deuteronomy	10	14	plurality 2/4	Behold, the heaven and the heaven of heavens is the LORD'S thy God, the earth also, with all that therein is.	Behold, the heaven and the heaven of heavens is the LORD'S thy God, the earth also, with all that therein is.	Behold, the heaven and the heaven of heavens is the LORD's thy God, the earth also, with all that therein is.	Behold, the heaven and the heaven of heavens is the LORD'S thy God, the earth also, with all that therein is.	Behold, the heaven and the heaven of heavens is the Lord's thy God, the earth also, with all that therein is.
Deuteronomy	11	17	plurality 2/4	And then the LORD'S wrath be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and lest ye perish quickly from off the good land which the LORD giveth you.	And then the LORD'S wrath be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and lest ye perish quickly from off the good land which the LORD giveth you.	And then the LORD's wrath be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and lest ye perish quickly from off the good land which the LORD giveth you.	And then the LORD'S wrath be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and lest ye perish quickly from off the good land which the LORD giveth you.	And then the Lord's wrath be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and lest ye perish quickly from off the good land which the Lord giveth you.
Deuteronomy	11	24	plurality 3/4	Every place whereon the soles of your feet shall tread shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even unto the uttermost sea shall your coast be.	Every place whereon the soles of your feet shall tread shall be your's: from the wilderness and Lebanon, from the river, the river Euphrates, even unto the uttermost sea shall your coast be.	Every place whereon the soles of your feet shall tread shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even unto the uttermost sea shall your coast be.	Every place whereon the soles of your feet shall tread shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even unto the uttermost sea shall your coast be.	Every place whereon the soles of your feet shall tread shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even unto the uttermost sea shall your coast be.
Deuteronomy	14	2	plurality 2/4	For thou art an holy people unto the LORD thy God, and the LORD hath chosen thee to be a peculiar people unto himself, above all the nations that are upon the earth.	For thou art an holy people unto the LORD thy God, and the LORD hath chosen thee to be a peculiar people unto himself, above all the nations that are upon the earth.	For thou art an holy people unto the LORD thy God, and the LORD hath chosen thee to be a peculiar people unto himself, above all the nations that are upon the earth.	for thou art an holy people unto the LORD thy God, and the LORD hath chosen thee to be a peculiar people unto himself, above all the nations that are upon the earth.	For thou art an holy people unto the Lord thy God, and the Lord hath chosen thee to be a peculiar people unto himself, above all the nations that are upon the earth.
Deuteronomy	14	12	plurality 3/4	But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,	But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,	But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,	But these are they of which ye shall not eat: the eagle, and ossifrage, and the ospray,	But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,
Deuteronomy	15	2	plurality 2/4	And this is the manner of the release: Every creditor that lendeth ought unto his neighbour shall release it; he shall not exact it of his neighbour, or of his brother; because it is called the LORD'S release.	And this is the manner of the release: Every creditor that lendeth ought unto his neighbour shall release it; he shall not exact it of his neighbour, or of his brother; because it is called the LORD'S release.	And this is the manner of the release: Every creditor that lendeth ought unto his neighbour shall release it; he shall not exact it of his neighbour, or of his brother; because it is called the LORD's release.	And this is the manner of the release: Every creditor that lendeth ought unto his neighbour shall release it; he shall not exact it of his neighbour, or of his brother; because it is called the LORD'S release.	And this is the manner of the release: Every creditor that lendeth ought unto his neighbour shall release it; he shall not exact it of his neighbour, or of his brother; because it is called the Lord's release.
Deuteronomy	16	10	plurality 2/4	And thou shalt keep the feast of weeks unto the LORD thy God with a tribute of a freewill offering of thine hand, which thou shalt give unto the LORD thy God, according as the LORD thy God hath blessed thee:	And thou shalt keep the feast of weeks unto the LORD thy God with a tribute of a freewill offering of thine hand, which thou shalt give unto the LORD thy God, according as the LORD thy God hath blessed thee:	And thou shalt keep the feast of weeks unto the LORD thy God with a tribute of a freewill offering of thine hand, which thou shalt give unto the Lord thy God, according as the LORD thy God hath blessed thee:	And thou shalt keep the feast of weeks unto the LORD thy God with a tribute of a freewill offering of thine hand, which thou shalt give unto the LORD thy God, according as the LORD thy God hath blessed thee:	And thou shalt keep the feast of weeks unto the Lord thy God with a tribute of a freewill offering of thine hand, which thou shalt give unto the Lord thy God, according as the Lord thy God hath blessed thee:
Deuteronomy	22	1	plurality 3/4	Thou shalt not see thy brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.	Thou shalt not see thy brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.	Thou shalt not see thy brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.	Thou shalt not see the brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.	Thou shalt not see thy brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.
Deuteronomy	22	3	plurality 3/4	In like manner shalt thou do with his ass; and so shalt thou do with his raiment; and with all lost thing of thy brother's, which he hath lost, and thou hast found, shalt thou do likewise: thou mayest not hide thyself.	In like manner shalt thou do with his ass; and so shalt thou do with his raiment; and with all lost thing of thy brother's, which he hath lost, and thou hast found, shalt thou do likewise: thou mayest not hide thyself.	In like manner shalt thou do with his ass; and so shalt thou do with his raiment; and with all lost thing of thy brother's, which he hath lost, and thou hast found, shalt thou do likewise: thou mayest not hide thyself.	In like manner shalt thou do with his ass; and so shalt thou do with his raiment; and with all lost things of thy brother's, which he hath lost, and thou hast found, shalt thou do likewise: thou mayest not hide thyself.	In like manner shalt thou do with his ass; and so shalt thou do with his raiment; and with all lost thing of thy brother's, which he hath lost, and thou hast found, shalt thou do likewise: thou mayest not hide thyself.
Deuteronomy	29	22	plurality 2/4	So that the generation to come of your children that shall rise up after you, and the stranger that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses which the LORD hath laid upon it;	So that the generation to come of your children that shall rise up after you, and the stranger that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses which the LORD hath laid upon it;	So that the generation to come of your children that shall rise up after you, and the stranger that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses which the LORD hath laid upon it; hath made it sick	So that the generation to come of your children that shall rise up after you, and the stranger that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses which the LORD hath laid upon it;	So that the generation to come of your children that shall rise up after you, and the stranger that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses which the Lord hath laid upon it;
Deuteronomy	32	9	plurality 2/4	For the LORD'S portion is his people; Jacob is the lot of his inheritance.	For the LORD'S portion is his people; Jacob is the lot of his inheritance.	For the LORD's portion is his people; Jacob is the lot of his inheritance.	For the LORD'S portion is his people; Jacob is the lot of his inheritance.	For the Lord's portion is his people; Jacob is the lot of his inheritance.
Deuteronomy	32	27	plurality 2/4	Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.	Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.	Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this. hath done	Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.	Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the Lord hath not done all this.
Deuteronomy	33	12	plurality 2/4	And of Benjamin he said, The beloved of the LORD shall dwell in safety by him; and the LORD shall cover him all the day long, and he shall dwell between his shoulders.	And of Benjamin he said, The beloved of the LORD shall dwell in safety by him; and the LORD shall cover him all the day long, and he shall dwell between his shoulders.	And of Benjamin he said, The beloved of the LORD shall dwell in safety by him; and the Lord shall cover him all the day long, and he shall dwell between his shoulders.	And of Benjamin he said, The beloved of the LORD shall dwell in safety by him; and the LORD shall cover him all the day long, and he shall dwell between his shoulders.	And of Benjamin he said, The beloved of the Lord shall dwell in safety by him; and the Lord shall cover him all the day long, and he shall dwell between his shoulders.
Joshua	1	15	plurality 2/4	Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD'S servant gave you on this side Jordan toward the sunrising.	Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD'S servant gave you on this side Jordan toward the sunrising.	Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD's servant gave you on this side Jordan toward the sunrising.	Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD'S servant gave you on this side Jordan toward the sunrising.	Until the Lord have given your brethren rest, as he hath given you, and they also have possessed the land which the Lord your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the Lord's servant gave you on this side Jordan toward the sunrising.
Joshua	2	14	plurality 2/4	And the men answered her, Our life for yours, if ye utter not this our business. And it shall be, when the LORD hath given us the land, that we will deal kindly and truly with thee.	And the men answered her, Our life for your's, if ye utter not this our business. And it shall be, when the LORD hath given us the land, that we will deal kindly and truly with thee.	And the men answered her, Our life for yours, if ye utter not this our business. And it shall be, when the LORD hath given us the land, that we will deal kindly and truly with thee.	And the men answered her, Our life for yours, if ye utter not this our business. And it shall be, when the LORD hath given us the land, that we will deal kindly and truly with thee.	And the men answered her, Our life for yours, if ye utter not this our business. And it shall be, when the Lord hath given us the land, that we will deal kindly and truly with thee.
Joshua	5	15	plurality 2/4	And the captain of the LORD'S host said unto Joshua, Loose thy shoe from off thy foot; for the place whereon thou standest is holy. And Joshua did so.	And the captain of the LORD'S host said unto Joshua, Loose thy shoe from off thy foot; for the place whereon thou standest is holy. And Joshua did so.	And the captain of the LORD's host said unto Joshua, Loose thy shoe from off thy foot; for the place whereon thou standest is holy. And Joshua did so.	And the captain of the LORD'S host said unto Joshua, Loose thy shoe from off thy foot; for the place whereon thou standest is holy. And Joshua did so.	And the captain of the Lord's host said unto Joshua, Loose thy shoe from off thy foot; for the place whereon thou standest is holy. And Joshua did so.
Joshua	6	4	plurality 3/4	And seven priests shall bear before the ark seven trumpets of rams' horns: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets.	And seven priests shall bear before the ark seven trumpets of rams' horns: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets.	And seven priests shall bear before the ark seven trumpets of rams' horns: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets.	And seven priests shall bear before the ark seven trumpets of rams horns: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets.	And seven priests shall bear before the ark seven trumpets of rams' horns: and the seventh day ye shall compass the city seven times, and the priests shall blow with the trumpets.
Joshua	6	23	plurality 3/4	And the young men that were spies went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that she had; and they brought out all her kindred, and left them without the camp of Israel.	And the young men that were spies went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that she had; and they brought out all her kindred, and left them without the camp of Israel.	And the young men that were spies went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that she had; and they brought out all her kindred, and left them without the camp of Israel.	And the young men that were spies went in, and brought Rahab, and her father, and her mother, and her brethren, and all that she had; and they brought out all her kindred, and left them without the camp of Israel.	And the young men that were spies went in, and brought out Rahab, and her father, and her mother, and her brethren, and all that she had; and they brought out all her kindred, and left them without the camp of Israel.
Joshua	7	2	plurality 2/4	And Joshua sent men from Jericho to Ai, which is beside Beth-aven, on the east side of Beth-el, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.	And Joshua sent men from Jericho to Ai, which is beside Beth-aven, on the east side of Beth-el, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.	And Joshua sent men from Jericho to Ai, which is beside Beth-aven, on the east side of Beth-el, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.	And Joshua sent men from Jericho to Ai, which is beside Beth-aven, on the east side of Bethel, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.	And Joshua sent men from Jericho to Ai, which is beside Beth–aven, on the east side of Beth–el, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.
Joshua	8	9	plurality 2/4	Joshua therefore sent them forth: and they went to lie in ambush, and abode between Beth-el and Ai, on the west side of Ai: but Joshua lodged that night among the people.	Joshua therefore sent them forth: and they went to lie in ambush, and abode between Beth-el and Ai, on the west side of Ai: but Joshua lodged that night among the people.	Joshua therefore sent them forth: and they went to lie in ambush, and abode between Beth-el and Ai, on the west side of Ai: but Joshua lodged that night among the people.	Joshua therefore sent them forth: and they went to lie in ambush, and abode between Bethel and Ai, on the west side of Ai: but Joshua lodged that night among the people.	Joshua therefore sent them forth: and they went to lie in ambush, and abode between Beth–el and Ai, on the west side of Ai: but Joshua lodged that night among the people.
Joshua	8	12	plurality 2/4	And he took about five thousand men, and set them to lie in ambush between Beth-el and Ai, on the west side of the city.	And he took about five thousand men, and set them to lie in ambush between Beth-el and Ai, on the west side of the city.	And he took about five thousand men, and set them to lie in ambush between Beth-el and Ai, on the west side of the city.	And he took about five thousand men, and set them to lie in ambush between Bethel and Ai, on the west side of the city.	And he took about five thousand men, and set them to lie in ambush between Beth–el and Ai, on the west side of the city.
Joshua	8	17	plurality 2/4	And there was not a man left in Ai or Beth-el, that went not out after Israel: and they left the city open, and pursued after Israel.	And there was not a man left in Ai or Beth-el, that went not out after Israel: and they left the city open, and pursued after Israel.	And there was not a man left in Ai or Beth-el, that went not out after Israel: and they left the city open, and pursued after Israel.	And there was not a man left in Ai or Bethel, that went not out after Israel: and they left the city open, and pursued after Israel.	And there was not a man left in Ai or Beth–el, that went not out after Israel: and they left the city open, and pursued after Israel.
Joshua	12	9	plurality 2/4	The king of Jericho, one; the king of Ai, which is beside Beth-el, one;	The king of Jericho, one; the king of Ai, which is beside Beth-el, one;	The king of Jericho, one; the king of Ai, which is beside Beth-el, one;	The king of Jericho, one; the king of Ai, which is beside Bethel, one;	The king of Jericho, one; the king of Ai, which is beside Beth–el, one;
Joshua	12	16	plurality 2/4	The king of Makkedah, one; the king of Beth-el, one;	The king of Makkedah, one; the king of Beth-el, one;	The king of Makkedah, one; the king of Beth-el, one;	The king of Makkedah, one; the king of Bethel, one;	The king of Makkedah, one; the king of Beth–el, one;
Joshua	13	18	plurality 3/4	And Jahazah, and Kedemoth, and Mephaath,	And Jahazah, and Kedemoth, and Mephaath,	And Jahazah, and Kedemoth, and Mephaath,	And Jahaza, and Kedemoth, and Mephaath,	And Jahazah, and Kedemoth, and Mephaath,
Joshua	16	1	plurality 2/4	And the lot of the children of Joseph fell from Jordan by Jericho, unto the water of Jericho on the east, to the wilderness that goeth up from Jericho throughout mount Beth-el,	And the lot of the children of Joseph fell from Jordan by Jericho, unto the water of Jericho on the east, to the wilderness that goeth up from Jericho throughout mount Beth-el,	And the lot of the children of Joseph fell from Jordan by Jericho, unto the water of Jericho on the east, to the wilderness that goeth up from Jericho throughout mount Beth-el,	And the lot of the children of Joseph fell from Jordan by Jericho, unto the water of Jericho on the east, to the wilderness that goeth up from Jericho throughout mount Bethel,	And the lot of the children of Joseph fell from Jordan by Jericho, unto the water of Jericho on the east, to the wilderness that goeth up from Jericho throughout mount Beth–el,
Joshua	16	2	plurality 2/4	And goeth out from Beth-el to Luz, and passeth along unto the borders of Archi to Ataroth,	And goeth out from Beth-el to Luz, and passeth along unto the borders of Archi to Ataroth,	And goeth out from Beth-el to Luz, and passeth along unto the borders of Archi to Ataroth,	And goeth out from Bethel to Luz, and passeth along unto the borders of Archi to Ataroth,	And goeth out from Beth–el to Luz, and passeth along unto the borders of Archi to Ataroth,
Joshua	17	11	plurality 2/4	And Manasseh had in Issachar and in Asher Beth-shean and her towns, and Ibleam and her towns, and the inhabitants of Dor and her towns, and the inhabitants of Endor and her towns, and the inhabitants of Taanach and her towns, and the inhabitants of Megiddo and her towns, even three countries.	And Manasseh had in Issachar and in Asher Beth-shean and her towns, and Ibleam and her towns, and the inhabitants of Dor and her towns, and the inhabitants of En-dor and her towns, and the inhabitants of Taanach and her towns, and the inhabitants of Megiddo and her towns, even three countries.	And Manasseh had in Issachar and in Asher Beth-shean and her towns, and Ibleam and her towns, and the inhabitants of Dor and her towns, and the inhabitants of Endor and her towns, and the inhabitants of Taanach and her towns, and the inhabitants of Megiddo and her towns, even three countries.	And Manasseh had in Issachar and in Asher Beth-shean and her towns, and Ibleam and her towns, and the inhabitants of Dor and her towns, and the inhabitants of Endor and her towns, and the inhabitants of Taanach and her towns, and the inhabitants of Megiddo and her towns, even three countries.	And Manasseh had in Issachar and in Asher Beth–shean and her towns, and Ibleam and her towns, and the inhabitants of Dor and her towns, and the inhabitants of Endor and her towns, and the inhabitants of Taanach and her towns, and the inhabitants of Megiddo and her towns, even three countries.
Joshua	18	13	plurality 2/4	And the border went over from thence toward Luz, to the side of Luz, which is Beth-el, southward; and the border descended to Ataroth-adar, near the hill that lieth on the south side of the nether Beth-horon.	And the border went over from thence toward Luz, to the side of Luz, which is Beth-el, southward; and the border descended to Ataroth-adar, near the hill that lieth on the south side of the nether Beth-horon.	And the border went over from thence toward Luz, to the side of Luz, which is Beth-el, southward; and the border descended to Ataroth-adar, near the hill that lieth on the south side of the nether Beth-horon.	And the border went over from thence toward Luz, to the side of Luz, which is Bethel, southward; and the border descended to Ataroth-adar, near the hill that lieth on the south side of the nether Beth-horon.	And the border went over from thence toward Luz, to the side of Luz, which is Beth–el, southward; and the border descended to Ataroth–adar, near the hill that lieth on the south side of the nether Beth–horon.
Joshua	18	22	plurality 2/4	And Beth-arabah, and Zemaraim, and Beth-el,	And Beth-arabah, and Zemaraim, and Beth-el,	And Beth-arabah, and Zemaraim, and Beth-el,	And Beth-arabah, and Zemaraim, and Bethel,	And Beth–arabah, and Zemaraim, and Beth–el,
Joshua	19	12	plurality 2/4	And turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor, and then goeth out to Daberath, and goeth up to Japhia,	And turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor, and then goeth out to Daberath, and goeth up to Japhia,	And turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor, and then goeth out to Daberath, and goeth up to Japhia,	And turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor, and then goeth out to daberath, and goeth up to Japhia,	And turned from Sarid eastward toward the sunrising unto the border of Chisloth–tabor, and then goeth out to Daberath, and goeth up to Japhia,
Joshua	19	15	plurality 2/4	And Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem: twelve cities with their villages.	And Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem: twelve cities with their villages.	And Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem: twelve cities with their villages.	And Kattath, and Nahallal, and Shimron, and Idalah, and Bethlehem: twelve cities with their villages.	And Kattath, and Nahallal, and Shimron, and Idalah, and Beth–lehem: twelve cities with their villages.
Joshua	19	19	plurality 2/4	And Hapharaim, and Shion, and Anaharath,	And Haphraim, and Shion, and Anaharath,	And Hapharaim, and Shion, and Anaharath,	And Haphraim, and Shihon, and Anaharath,	And Hapharaim, and Shion, and Anaharath,
Joshua	19	51	plurality 2/4	These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.	These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.	These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.	These are the inheritances which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.	These are the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the Lord, at the door of the tabernacle of the congregation. So they made an end of dividing the country.
Joshua	21	10	plurality 3/4	Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for theirs was the first lot.	Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for their's was the first lot.	Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for theirs was the first lot.	Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for theirs was the first lot.	Which the children of Aaron, being of the families of the Kohathites, who were of the children of Levi, had: for theirs was the first lot.
Joshua	22	19	plurality 2/4	Notwithstanding, if the land of your possession be unclean, then pass ye over unto the land of the possession of the LORD, wherein the LORD'S tabernacle dwelleth, and take possession among us: but rebel not against the LORD, nor rebel against us, in building you an altar beside the altar of the LORD our God.	Notwithstanding, if the land of your possession be unclean, then pass ye over unto the land of the possession of the LORD, wherein the LORD'S tabernacle dwelleth, and take possession among us: but rebel not against the LORD, nor rebel against us, in building you an altar beside the altar of the LORD our God.	Notwithstanding, if the land of your possession be unclean, then pass ye over unto the land of the possession of the LORD, wherein the LORD's tabernacle dwelleth, and take possession among us: but rebel not against the LORD, nor rebel against us, in building you an altar beside the altar of the LORD our God.	Notwithstanding, if the land of your possession be unclean, then pass ye over unto the land of the possession of the LORD, wherein the LORD'S tabernacle dwelleth, and take possession among us: but rebel not against the LORD, nor rebel against us, in building you an altar beside the altar of the LORD our God.	Notwithstanding, if the land of your possession be unclean, then pass ye over unto the land of the possession of the Lord, wherein the Lord's tabernacle dwelleth, and take possession among us: but rebel not against the Lord, nor rebel against us, in building you an altar beside the altar of the Lord our God.
Joshua	23	7	plurality 3/4	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear by them, neither serve them, nor bow yourselves unto them:	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear by them, neither serve them, nor bow yourselves unto them:	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear by them, neither serve them, nor bow yourselves unto them:	That ye come not among these nations, these that remain among you; neither make mention of the names of their gods, nor cause to swear by them, neither serve them, nor bow yourselves unto them:	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear by them, neither serve them, nor bow yourselves unto them:
Joshua	23	9	plurality 2/4	For the LORD hath driven out from before you great nations and strong: but as for you, no man hath been able to stand before you unto this day.	For the LORD hath driven out from before you great nations and strong: but as for you, no man hath been able to stand before you unto this day.	For the LORD hath driven out from before you great nations and strong: but as for you, no man hath been able to stand before you unto this day. …: or, Then the LORD will drive	For the LORD hath driven out from before you great nations and strong: but as for you, no man hath been able to stand before you unto this day.	For the Lord hath driven out from before you great nations and strong: but as for you, no man hath been able to stand before you unto this day.
Judges	1	22	plurality 2/4	And the house of Joseph, they also went up against Beth-el: and the LORD was with them.	And the house of Joseph, they also went up against Beth-el: and the LORD was with them.	And the house of Joseph, they also went up against Beth-el: and the LORD was with them.	And the house of Joseph, they also went up against Bethel: and the LORD was with them.	And the house of Joseph, they also went up against Beth–el: and the Lord was with them.
Judges	1	23	plurality 2/4	And the house of Joseph sent to descry Beth-el. (Now the name of the city before was Luz.)	And the house of Joseph sent to descry Beth-el. (Now the name of the city before was Luz.)	And the house of Joseph sent to descry Beth-el. (Now the name of the city before was Luz.)	And the house of Joseph sent to descry Bethel. (Now the name of the city before was Luz.)	And the house of Joseph sent to descry Beth–el. (Now the name of the city before was Luz.)
Judges	4	5	plurality 2/4	And she dwelt under the palm tree of Deborah between Ramah and Beth-el in mount Ephraim: and the children of Israel came up to her for judgment.	And she dwelt under the palm tree of Deborah between Ramah and Beth-el in mount Ephraim: and the children of Israel came up to her for judgment.	And she dwelt under the palm tree of Deborah between Ramah and Beth-el in mount Ephraim: and the children of Israel came up to her for judgment.	And she dwelt under the palm tree of Deborah between Ramah and Bethel in mount Ephraim: and the children of Israel came up to her for judgment.	And she dwelt under the palm tree of Deborah between Ramah and Beth–el in mount Ephraim: and the children of Israel came up to her for judgment.
Judges	5	6	plurality 3/4	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways.	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways.	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways.	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travelers walked through byways.	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways.
